INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT		INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	代号	类型	类型2（1是IOS充值，2是限时，3是钻石换软妹币）	商品	是否新品	是否解锁	图标	res	价格	来源(1每日任务、4金币、5钻石)	参数1	参数2	参数3	类别_0（好感）	类别_1（饱腹）	类别_2（清洁）	类别_3（口渴值）	类别_4(使用次数道具，1使用，0不使用）	类别_5（使用次数）	钻石价格	同类型下标	审核隐藏	好感值开启	持续时间	商店列表（1常服，2运动装，3泳装，4睡衣，5头发，6头饰，7普通鞋子，8运动鞋，9眼镜）	播放动画	属性对应
10017	蓝色制服	icon_clothes30	1				1	10023	body01_02	2199	0	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2199					1		
10001	T恤热裤	icon_clothes01	1				1	10013	body14	2799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799					2		
10011	紧身皮衣	icon_clothes19	1				1	10011	body17	3299	1	"Start,ChangeCloth"			26						3299							
10005	小鱼海棠*红	icon_clothes10	1				1	10008	body10	2399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399					1		
10012	圣诞短裙	icon_clothes20	1				1	10014	body20	3299	1	"Start,ChangeCloth"			39000/39000						3299							
10013	圣诞皮衣	icon_clothes21	1			0	1	10015	body19	3499	4	"Start,ChangeCloth"			39000/39000						3499							
10015	红旗袍	icon_clothes23	1				1	10018	body09_02	3199	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199					1		
10014	蛋糕裙	icon_clothes22	1				1	10017	body18	3499	4	"Start,ChangeCloth"			39000/39000						3499							
20003	蓝色短裙	icon_clothes07	40				1	10019	body22	3499	1	"Start,ChangeCloth"			39000/39000						3499							
10003	女仆装	icon_clothes03	1				1	10001	body06	3499	1	"Start,ChangeCloth"			39000/39000						3499							
20007	褶边短裙	icon_clothes18	40				1	20020	body16	4999	4	"Start,ChangeCloth"			39000/39000						4999							
20002	紫色比基尼	icon_clothes08	40			0	1	20001	body08	1999	1	"Start,ChangeCloth"			39000/39000						1999							
10020	白色围裙	icon_clothes33	1			1	-1	10025	body21_02	3699	5	"Start,ChangeCloth"			39000/39000				239		3699							
10008	兔女郎	icon_clothes05	1				1	10004	body02	3699	1	"Start,ChangeCloth"			39000/39000						3699							
10010	空姐	icon_clothes17	1				1	10012	body15	3199	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199					1		
10004	荷官制服	icon_clothes04	1				1	10006	body07	3299	1	"Start,ChangeCloth"			39000/39000						3299							
10002	英伦学院	icon_clothes02	1				1	10002	body01	2799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799					2		
10006	小鱼海棠*蓝	icon_clothes15	1				1	10009	body10_02	2399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2399					1		
10009	蓝旗袍	icon_clothes16	1				1	10010	body09	3199	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199					1		
20009	和风比基尼	icon_clothes27	40			1	1	20007	body24	2899	4	"Start,ChangeCloth"			39000/39000				239		2899							
20010	碎片比基尼	icon_clothes28	40			1	1	20008	body25	3299	4	"Start,ChangeCloth"			39000/39000				239		3299							
20011	金饰比基尼	icon_clothes29	40			1	1	20009	body26	3699	4	"Start,ChangeCloth"			39000/39000				239		3699							
20012	红十字	icon_clothes34	40			1	-1	20010	body08_02	2299	4	"Start,ChangeCloth"			39000/39000						2299							
20013	黑色比基尼	icon_clothes35	40			1	-1	20012	body08_03	2299	5	"Start,ChangeCloth"			39000/39000				239		2299							
20014	星条旗	icon_clothes36	40			1	-1	20013	body08_04	2299	4	"Start,ChangeCloth"			39000/39000						2299							
20015	蓝白比基尼	icon_clothes37	40			1	-1	20011	body08_05	2299	5	"Start,ChangeCloth"			39000/39000				239		2299							
20016	黑色泳衣	icon_clothes38	40			1	-1	20014	body12_02	1999	4	"Start,ChangeCloth"			39000/39000						1999							
20017	蓝白泳衣	icon_clothes39	40			1	-1	20015	body12_03	1999	4	"Start,ChangeCloth"			39000/39000						1999							
20018	红蓝泳衣	icon_clothes40	40			1	-1	20016	body12_04	1999	4	"Start,ChangeCloth"			39000/39000						1999							
10019	红色空姐	icon_clothes32	1				1	10024	body15_02	3599	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3599					1		
1000004	格子短裙	icon_clothes102	1				1	10029	body29	2799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799					1		
1000009	针织学生服	icon_clothes106	1				1	10033	body33	2799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799					1		
1000012	牛仔裤	icon_clothes108	1				1	10036	body36	3399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399							
1000024	和风风情	icon_clothes123	40				1	20006	body49	4999	4	"Start,ChangeCloth"			4999						4999							
1000025	热情似火	icon_clothes122	40				1	20002	body50	3199	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199					2		
1000022	蓝精灵	icon_clothes120	40				1	20017	body47	3499	1	"Start,ChangeCloth"			39000/39000						3499							
1000023	粉色回忆	icon_clothes121	40				1	20018	body48	3499	1	"Start,ChangeCloth"			39000/39000						3499							
10007	体操服	icon_clothes11	40				1	10007	body13	2799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2799					2		
10018	红白体操	icon_clothes31	40				1	10026	body13_02	1799	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	1799					2		
20001	短裙比基尼	icon_clothes09	40				1	20019	body03	3199	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199					2		
20006	黑猫泳衣	icon_clothes14	40				1	20005	body11_02	3599	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3599					4		
20004	死库水	icon_clothes12	40				1	20003	body12	2599	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	2599					2		
20005	白猫泳衣	icon_clothes13	40				1	20004	body11	3599	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3599					4		
1000013	睡衣02	icon_clothes109	50				1	10037	body37	3399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399							
1000010	睡衣	icon_clothes105	50				1	10032	body32	3399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399					4		
1000011	背心	icon_clothes107	50				1	10035	body35	3399	5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3399							
10031	战娘战斗服	icon_clothes119	1				1	10031	body31		5	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4899							
1000015	长衫T恤	icon_clothes111	1				1	10039	body39	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000016	长衫T恤02	icon_clothes112	1				1	10040	body40	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000017	长衫T恤03	icon_clothes113	1				1	10041	body41	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000018	长衫T恤04	icon_clothes114	1				1	10042	body42	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000019	长衫T恤05	icon_clothes115	1				1	10043	body43	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000020	长衫T恤06	icon_clothes116	1				1	10044	body44	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000021	长衫T恤07	icon_clothes117	1				1	10045	body45	4099	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	4099							
1000022	蓝精灵	icon_clothes120	40				1	20017	body47	3499	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3499							
1000023	粉色回忆	icon_clothes121	40				1	20018	body48	3499	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3499							
1000024	深蓝空姐服	icon_clothes122	1			1	1	20021	body15_03	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199		1					
1000025	湖蓝空姐服	icon_clothes123	1			1	1	20022	body15_04	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199							
1000026	金边空姐服	icon_clothes124	1			1	1	20023	body15_05	3199	1	"Start,ChangeCloth"			39000/39000	0	0	0	0	0	3199		1					
